Rank;Title;TotalCites;ImpactFactor;EigenfactorScore
5842;JOURNAL OF NONDESTRUCTIVE EVALUATION;985;1.690;0.00194
5842;Jornal de Pediatria;1595;1.690;0.00255
5845;Applied Sciences-Basel;1955;1.689;0.00320
5845;MOLECULAR AND CELLULAR PROBES;1711;1.689;0.00162
5845;Surgical Infections;1913;1.689;0.00420
5848;BIOMEDICAL CHROMATOGRAPHY;4070;1.688;0.00520
5848;MEDICAL AND VETERINARY ENTOMOLOGY;2975;1.688;0.00238
5850;EXPERIMENTAL HEAT TRANSFER;947;1.687;0.00059
5851;CHEMICAL PHYSICS LETTERS;49574;1.686;0.02602
5851;High Energy Density Physics;805;1.686;0.00223
5851;JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK;5637;1.686;0.01602
5851;Journal of Financial Econometrics;895;1.686;0.00283
5851;TRANSPORTATION JOURNAL;532;1.686;0.00030
5851;Tropical Plant Biology;330;1.686;0.00059
5857;Journal of Cardiopulmonary Rehabilitation and Prevention;1602;1.685;0.00206
5857;Journal of Herbal Medicine;237;1.685;0.00053
5857;MEASUREMENT SCIENCE and TECHNOLOGY;12623;1.685;0.01387
5857;Ships and Offshore Structures;752;1.685;0.00107
5861;COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY;6912;1.684;0.00320
5861;Scandinavian Journal of Urology;518;1.684;0.00186
5863;Enterprise Information Systems;597;1.683;0.00077
5863;Journal of Foot and Ankle Research;892;1.683;0.00199
5863;SILVA FENNICA;1929;1.683;0.00158
5863;Theoretical Economics;495;1.683;0.00845
5867;CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS;1619;1.682;0.00185
5867;SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS;4358;1.682;0.00986
5869;EXPERIMENTAL AGRICULTURE;1148;1.680;0.00093
5869;Journal of Ophthalmology;1928;1.680;0.00625
5871;PHYSICS AND CHEMISTRY OF MINERALS;3608;1.679;0.00247
5872;Attention Perception & Psychophysics;3171;1.678;0.00798
5872;Attention Perception & Psychophysics;3171;1.678;0.00798
5872;Journalism Practice;1119;1.678;0.00210
5875;BIOPHARMACEUTICS & DRUG DISPOSITION;1608;1.677;0.00193
5875;Islets;577;1.677;0.00116
5875;Journal of Infrared Millimeter and Terahertz Waves;1457;1.677;0.00375
5875;Psychological Services;947;1.677;0.00279
5879;Advances in Calculus of Variations;176;1.676;0.00178
5879;Biomedical Engineering Online;2694;1.676;0.00433
5879;Journal of Cultural Economics;677;1.676;0.00090
5882;FAMILY PRACTICE;4162;1.675;0.00491
5882;INSECTES SOCIAUX;2441;1.675;0.00215
5882;ONLINE INFORMATION REVIEW;1218;1.675;0.00130
5882;ONLINE INFORMATION REVIEW;1218;1.675;0.00130
5882;Research in Autism Spectrum Disorders;3039;1.675;0.00726
5887;MARINE AND FRESHWATER RESEARCH;4737;1.674;0.00478
5887;PATTERNS OF PREJUDICE;462;1.674;0.00108
5887;RESEARCH ON CHEMICAL INTERMEDIATES;4295;1.674;0.00570
5890;Building Simulation;654;1.673;0.00116
5890;INFANT MENTAL HEALTH JOURNAL;1889;1.673;0.00218
5890;INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS;6641;1.673;0.00869
5890;JOURNAL OF RESEARCH IN READING;1043;1.673;0.00137
5890;PLANT SPECIES BIOLOGY;654;1.673;0.00082
5895;ACM Journal on Emerging Technologies in Computing Systems;460;1.672;0.00133
5895;Journal of Consumer Culture;1257;1.672;0.00117
5895;Journal of Leadership & Organizational Studies;1228;1.672;0.00138
5898;Dementia-International Journal of Social Research and Practice;1087;1.671;0.00212
5898;JOURNAL OF STRATEGIC STUDIES;672;1.671;0.00151
5898;LUMINESCENCE;1965;1.671;0.00267
5898;Medicina Oral Patologia Oral y Cirugia Bucal;2621;1.671;0.00382
5902;JOURNAL OF PUBLIC HEALTH;2482;1.670;0.00558
5902;JOURNAL OF PUBLIC HEALTH;2482;1.670;0.00558
5902;Journal of Cardiovascular Medicine;1589;1.670;0.00366
5902;Journal of Wound Care;2062;1.670;0.00228
5902;Operative Neurosurgery;319;1.670;0.00098
5907;BIOMETRIKA;20174;1.669;0.01321
5907;INFANT BEHAVIOR & DEVELOPMENT;3572;1.669;0.00352
5907;Twin Research and Human Genetics;1843;1.669;0.00500
5910;EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS;1290;1.667;0.00153
5910;EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS;1290;1.667;0.00153
5910;HUMAN DEVELOPMENT;1431;1.667;0.00127
5910;International Theory;434;1.667;0.00197
5910;JOURNAL OF PSYCHOACTIVE DRUGS;1732;1.667;0.00194
5910;Journal of Electronic Commerce Research;758;1.667;0.00076
5910;NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS;1655;1.667;0.00193
5910;Qualitative Research in Psychology;4636;1.667;0.00069
5910;SOCIAL WORK;1973;1.667;0.00115
5910;Seminars in Oncology Nursing;771;1.667;0.00101
5910;Seminars in Oncology Nursing;771;1.667;0.00101
5921;ENVIRONMENTAL TECHNOLOGY;5987;1.666;0.00681
5921;SOLID-STATE ELECTRONICS;7227;1.666;0.00590
5923;JOURNAL OF CHILD NEUROLOGY;6006;1.665;0.00901
5923;JOURNAL OF FLUORESCENCE;3637;1.665;0.00377
5923;REVIEW OF PALAEOBOTANY AND PALYNOLOGY;4874;1.665;0.00402
5926;MINERALOGY AND PETROLOGY;2174;1.664;0.00218
5926;Oncology Letters;8967;1.664;0.02182
5928;EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT;7119;1.663;0.00435
5928;EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT;7119;1.663;0.00435
5928;Inland Waters;505;1.663;0.00164
5931;AMERICAN JOURNAL OF MEDICAL QUALITY;1271;1.662;0.00311
5931;Psychology of Religion and Spirituality;666;1.662;0.00124
5933;ENVIRONMENTAL ENTOMOLOGY;7712;1.661;0.00557
5933;International Journal of Precision Engineering and Manufacturing;2942;1.661;0.00597
5933;JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS;2626;1.661;0.00365
5933;STRESS AND HEALTH;1421;1.661;0.00256
5933;STRESS AND HEALTH;1421;1.661;0.00256
5938;BIOETHICS;1514;1.660;0.00249
5938;BIOETHICS;1514;1.660;0.00249
5938;CORROSION REVIEWS;369;1.660;0.00065
5938;IEEE Transactions on Components Packaging and Manufacturing Technology;5236;1.660;0.00649
5938;Journal of Civil Engineering and Management;1381;1.660;0.00184
5938;Journal of the Chinese Medical Association;1528;1.660;0.00232
5944;International Journal of Sediment Research;824;1.659;0.00132
5944;Journal of Consumer Behaviour;1642;1.659;0.00139
5946;GRANULAR MATTER;1960;1.658;0.00384
5946;International Journal of Information Security;526;1.658;0.00095
5946;Journal of Flow Chemistry;279;1.658;0.00080
5946;Language Culture and Curriculum;444;1.658;0.00052
5950;MALACOLOGIA;803;1.657;0.00046
5950;PAPERS IN REGIONAL SCIENCE;1843;1.657;0.00212
5952;ANNALS OF NUCLEAR MEDICINE;2133;1.656;0.00312
5952;ANTIQUITY;3041;1.656;0.00291
5952;Libyan Journal of Medicine;318;1.656;0.00049
5952;Politics;505;1.656;0.00130
5956;EUROPEAN JOURNAL OF ORAL SCIENCES;3558;1.655;0.00278
5956;Journal of Plant Interactions;728;1.655;0.00129
5956;LANGUAGE LEARNING;3644;1.655;0.00368
5956;Nuclear Engineering and Technology;1304;1.655;0.00400
5956;POLYMER-PLASTICS TECHNOLOGY AND ENGINEERING;2732;1.655;0.00274
5956;TRANSPLANT IMMUNOLOGY;1307;1.655;0.00217
5962;Animals;301;1.654;0.00105
5962;COMPUTING;1877;1.654;0.00151
5962;GEOLOGICAL JOURNAL;1711;1.654;0.00198
5965;AIP Advances;6675;1.653;0.02158
5965;Advances in Data Analysis and Classification;336;1.653;0.00161
5965;IRRIGATION SCIENCE;1996;1.653;0.00225
5965;Intensive and Critical Care Nursing;1249;1.653;0.00127
5965;Intensive and Critical Care Nursing;1249;1.653;0.00127
5970;ACTA HISTOCHEMICA;2134;1.652;0.00323
5970;Cardiovascular Ultrasound;1038;1.652;0.00194
5970;Conservation & Society;822;1.652;0.00159
5970;Israel Journal of Health Policy Research;261;1.652;0.00120
5970;PURE AND APPLIED GEOPHYSICS;6291;1.652;0.00813
5970;WELDING JOURNAL;3058;1.652;0.00147
5976;INVERTEBRATE SYSTEMATICS;820;1.651;0.00153
5976;JOURNAL OF MUSCULOSKELETAL  & NEURONAL INTERACTIONS;1435;1.651;0.00188
5976;NEURAL COMPUTATION;10797;1.651;0.00665
5979;AUSTRALIAN AND NEW ZEALAND JOURNAL OF CRIMINOLOGY;676;1.650;0.00076
5979;BRAIN BEHAVIOR AND EVOLUTION;2427;1.650;0.00184
5979;JOURNAL OF ELASTICITY;2170;1.650;0.00241
5979;JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY;4723;1.650;0.00669
5983;Computational Intelligence and Neuroscience;1802;1.649;0.00249
5983;POETICS;1788;1.649;0.00218
5983;Sex Education-Sexuality Society and Learning;750;1.649;0.00121
5986;GROUND WATER MONITORING AND REMEDIATION;830;1.648;0.00080
5986;JOURNAL OF HEALTH COMMUNICATION;3695;1.648;0.00764
5986;REMEDIAL AND SPECIAL EDUCATION;1723;1.648;0.00196
5986;SOCIAL INDICATORS RESEARCH;7145;1.648;0.01019
5986;STEREOTACTIC AND FUNCTIONAL NEUROSURGERY;1703;1.648;0.00236
5991;ANIMAL REPRODUCTION SCIENCE;7186;1.647;0.00591
5991;JOURNAL OF GENE MEDICINE;2169;1.647;0.00137
5993;JOURNAL OF APPLIED GEOPHYSICS;4228;1.646;0.00960
5993;MACROMOLECULAR THEORY AND SIMULATIONS;1115;1.646;0.00113
5993;SCANDINAVIAN JOURNAL OF PUBLIC HEALTH;4673;1.646;0.00545
5993;SCANDINAVIAN JOURNAL OF PUBLIC HEALTH;4673;1.646;0.00545
5993;TECHNOLOGY IN CANCER RESEARCH & TREATMENT;1671;1.646;0.00236
5998;Advances in Meteorology;1444;1.645;0.00484
5998;EMPLOYEE RELATIONS;993;1.645;0.00075
5998;MINNESOTA LAW REVIEW;1015;1.645;0.00195
5998;Seminars in Pediatric Surgery;1509;1.645;0.00310
6002;ALLERGOLOGIA ET IMMUNOPATHOLOGIA;1139;1.644;0.00194
6002;POPULATION ECOLOGY;1132;1.644;0.00197
6004;DUKE LAW JOURNAL;1462;1.643;0.00224
6004;Signal Image and Video Processing;1410;1.643;0.00301
6004;TERRORISM AND POLITICAL VIOLENCE;1129;1.643;0.00203
6007;APPLIED SPECTROSCOPY;8315;1.642;0.00557
6007;CHEMOECOLOGY;979;1.642;0.00111
6007;HUMAN ECOLOGY;2613;1.642;0.00273
6007;Perspectives on Politics;1999;1.642;0.00643
6011;CONTRIBUTIONS TO ZOOLOGY;423;1.641;0.00069
6011;Chemosensory Perception;379;1.641;0.00078
6011;DECISION SCIENCES;3547;1.641;0.00207
6011;ECONOMICA;2249;1.641;0.00389
6011;GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE;982;1.641;0.00083
6011;Geotechnique Letters;480;1.641;0.00245
6011;Politics & Gender;703;1.641;0.00137
6018;Clinical Simulation in Nursing;978;1.640;0.00160
6018;Clinical Simulation in Nursing;978;1.640;0.00160
6018;IEEE COMPUTER GRAPHICS AND APPLICATIONS;2234;1.640;0.00165
6018;JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION;1180;1.640;0.00137
6018;JOURNAL OF CLINICAL NEUROSCIENCE;7352;1.640;0.01380
6018;MECHANICS RESEARCH COMMUNICATIONS;2898;1.640;0.00404
6024;Bioengineered;589;1.639;0.00200
6024;EURASIP Journal on Advances in Signal Processing;4315;1.639;0.00632
6024;Economics of Energy & Environmental Policy;211;1.639;0.00095
6024;HOUSING STUDIES;1868;1.639;0.00248
6024;Information Technology & People;673;1.639;0.00058
6024;JOURNAL OF SOUTH AMERICAN EARTH SCIENCES;3316;1.639;0.00457
6030;JOURNAL OF MEMBRANE BIOLOGY;4002;1.638;0.00302
6030;KONA Powder and Particle Journal;437;1.638;0.00045
6032;Computers and Concrete;839;1.637;0.00123
6033;BioSocieties;516;1.636;0.00111
6033;Journal of Linguistic Anthropology;588;1.636;0.00063
6033;ROFO-FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN VERFAHREN;1462;1.636;0.00220
6036;BMC MEDICAL IMAGING;815;1.635;0.00169
6036;CLINICAL AUTONOMIC RESEARCH;1493;1.635;0.00138
6036;CROP SCIENCE;17363;1.635;0.00950
6036;Information Technology & Management;501;1.635;0.00051
6036;JOURNAL OF CLINICAL NURSING;9521;1.635;0.01177
6036;JOURNAL OF CLINICAL NURSING;9521;1.635;0.01177
6036;JOURNAL OF REPRODUCTION AND DEVELOPMENT;2000;1.635;0.00272
6036;Nutrition Research and Practice;1151;1.635;0.00202
6044;Asian Pacific Journal of Tropical Medicine;2368;1.634;0.00485
6044;Ecological Complexity;1442;1.634;0.00241
6044;Energy Efficiency;1078;1.634;0.00163
6044;Energy Efficiency;1078;1.634;0.00163
6044;Mass Communication and Society;1247;1.634;0.00176
6049;Annals of Diagnostic Pathology;1372;1.633;0.00218
6049;BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY;1822;1.633;0.00228
6049;JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS;532;1.633;0.00066
6049;Nonprofit Management & Leadership;913;1.633;0.00052
6053;HEREDITAS;1555;1.632;0.00043
6053;JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS;12653;1.632;0.01946
6053;JOURNAL OF ECONOMETRICS;15790;1.632;0.02674
6053;JOURNAL OF ECONOMETRICS;15790;1.632;0.02674
6053;LEARNED PUBLISHING;458;1.632;0.00076
6053;PHILOSOPHICAL MAGAZINE;13501;1.632;0.00940
6053;REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS;1374;1.632;0.00174
6053;VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY;5869;1.632;0.00529
6061;International Studies Review;937;1.631;0.00199
6061;WASTE MANAGEMENT & RESEARCH;3654;1.631;0.00299
6063;Journal of the Institute of Mathematics of Jussieu;435;1.630;0.00381
6063;Mind Brain and Education;542;1.630;0.00130
6065;FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY;1077;1.629;0.00087
6065;JOURNAL OF APPLIED ENTOMOLOGY;2898;1.629;0.00294
6067;Earth Science Informatics;326;1.628;0.00085
6067;INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY;2255;1.628;0.00248
6067;JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY;1948;1.628;0.00242
6067;MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA;467;1.628;0.00084
6071;Journal of the Brazilian Society of Mechanical Sciences and Engineering;1481;1.627;0.00214
6072;AMERICAN JOURNAL OF HEALTH BEHAVIOR;2005;1.626;0.00328
6072;COLLEGE & RESEARCH LIBRARIES;1121;1.626;0.00084
6072;JOURNAL OF CAREER ASSESSMENT;1279;1.626;0.00177
6075;ACTA ETHOLOGICA;446;1.625;0.00093
6075;CHEMISTRY LETTERS;13933;1.625;0.01181
6075;EDUCATIONAL REVIEW;1077;1.625;0.00093
6075;Energy Sustainability and Society;327;1.625;0.00081
6075;INVERTEBRATE NEUROSCIENCE;361;1.625;0.00031
6075;International Journal of Transitional Justice;614;1.625;0.00104
6075;JOURNAL OF CELLULAR PLASTICS;740;1.625;0.00061
6075;LAW & SOCIETY REVIEW;2575;1.625;0.00171
6075;Microscopy;411;1.625;0.00205
6084;FISHERIES MANAGEMENT AND ECOLOGY;1530;1.624;0.00208
6084;JOURNAL OF THORACIC IMAGING;1311;1.624;0.00220
6084;Petroleum Science;649;1.624;0.00181
6087;AMERICAN JOURNAL OF PERINATOLOGY;3046;1.623;0.00705
6087;EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY & DIABETES;2476;1.623;0.00302
6087;JOURNAL OF INTERNATIONAL MONEY AND FINANCE;3958;1.623;0.00753
6087;JOURNAL OF SOCIOLINGUISTICS;1061;1.623;0.00130
6087;Journal of Digestive Diseases;1314;1.623;0.00330
6087;Journal of Geographical Sciences;1849;1.623;0.00293
6093;Canadian Journal of Gastroenterology and Hepatology;2202;1.622;0.00370
6093;ENGINEERING OPTIMIZATION;2171;1.622;0.00324
6093;Mobile Media & Communication;226;1.622;0.00074
6093;THEORY CULTURE & SOCIETY;3854;1.622;0.00447
6097;ANNALES GEOPHYSICAE;5663;1.621;0.00586
6097;COMPTES RENDUS GEOSCIENCE;2228;1.621;0.00219
6097;Chemistry Education Research and Practice;1170;1.621;0.00166
6097;Chemistry Education Research and Practice;1170;1.621;0.00166
6097;PHYSICAL BIOLOGY;1827;1.621;0.00458
6102;AGEING & SOCIETY;2791;1.620;0.00304
6102;HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE;1568;1.620;0.00204
6102;PHOTOMEDICINE AND LASER SURGERY;2282;1.620;0.00217
6102;REVIEW OF ECONOMIC DYNAMICS;1500;1.620;0.00885
6102;SOCIOLOGICAL FORUM;1647;1.620;0.00227
6107;BIOSYSTEMS;2563;1.619;0.00267
6107;International Transactions on Electrical Energy Systems;1025;1.619;0.00194
6107;Journal of Coatings Technology and Research;1358;1.619;0.00197
6107;Journal of Vascular Surgery-Venous and Lymphatic Disorders;516;1.619;0.00153
6111;Diagnostic and Interventional Radiology;1164;1.618;0.00230
6111;IT Professional;592;1.618;0.00109
6113;CHEMISTRY & BIODIVERSITY;3869;1.617;0.00434
6113;International Journal of Hypertension;654;1.617;0.00173
6113;Korean Journal of Orthodontics;463;1.617;0.00142
6116;GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY;1523;1.616;0.00123
6116;JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING;3468;1.616;0.00295
6116;RESEARCH IN VETERINARY SCIENCE;5908;1.616;0.00821
6119;ACTA OECOLOGICA-INTERNATIONAL  JOURNAL OF ECOLOGY;2887;1.615;0.00338
6119;ANNALS OF OCCUPATIONAL HYGIENE;3227;1.615;0.00321
6119;BULLETIN OF THE GEOLOGICAL SOCIETY OF FINLAND;212;1.615;0.00021
6119;INTERNATIONAL JOURNAL OF MODERN PHYSICS E-NUCLEAR PHYSICS;1668;1.615;0.00349
6119;JOURNAL OF CREATIVE BEHAVIOR;1023;1.615;0.00095
6119;SPE RESERVOIR EVALUATION & ENGINEERING;2112;1.615;0.00250
6125;AUSTRALIAN SYSTEMATIC BOTANY;694;1.614;0.00070
6125;Chinese Journal of Aeronautics;2138;1.614;0.00391
6125;EPISODES;2031;1.614;0.00254
6125;GLQ-A JOURNAL OF LESBIAN AND GAY STUDIES;663;1.614;0.00057
6125;OCEANOLOGIA;833;1.614;0.00109
6125;OPTIMAL CONTROL APPLICATIONS & METHODS;998;1.614;0.00198
6131;Engineering Construction and Architectural Management;1172;1.613;0.00057
6131;Engineering Construction and Architectural Management;1172;1.613;0.00057
6131;INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY;1853;1.613;0.00258
6131;JOURNAL OF COMPOSITE MATERIALS;8262;1.613;0.00717
6135;ZEITSCHRIFT FUR GASTROENTEROLOGIE;1424;1.612;0.00153
6136;Journal of Deaf Studies and Deaf Education;1398;1.611;0.00118
6137;ADAPTED PHYSICAL ACTIVITY QUARTERLY;1037;1.610;0.00073
6137;Journal of Orthopaedic Surgery and Research;1695;1.610;0.00443
6137;PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE;3233;1.610;0.00281
6137;SOCIO-ECONOMIC PLANNING SCIENCES;1185;1.610;0.00114
6137;SOCIO-ECONOMIC PLANNING SCIENCES;1185;1.610;0.00114
6137;SOCIOLOGICAL QUARTERLY;2192;1.610;0.00151
6143;CURRENT PROBLEMS IN CANCER;373;1.609;0.00063
6144;ARCHIVES OF MICROBIOLOGY;6613;1.607;0.00348
6144;JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION;2519;1.607;0.00394
6144;MEDICINAL CHEMISTRY RESEARCH;4284;1.607;0.00756
6147;Head & Face Medicine;687;1.606;0.00118
6147;JOURNAL DE MYCOLOGIE MEDICALE;713;1.606;0.00103
6147;JOURNAL OF COMPUTATIONAL NEUROSCIENCE;1920;1.606;0.00272
6147;JOURNAL OF RISK AND INSURANCE;1739;1.606;0.00224
6147;Transactions on Emerging Telecommunications Technologies;1037;1.606;0.00221
6152;AMERICAN ANTHROPOLOGIST;4486;1.605;0.00209
6152;ANTHROZOOS;1367;1.605;0.00124
6152;ANTHROZOOS;1367;1.605;0.00124
6152;JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;44946;1.605;0.02701
6152;Journal of Advanced Ceramics;400;1.605;0.00098
6152;NEUROPEDIATRICS;1650;1.605;0.00163
6152;OPHTHALMOLOGICA;2093;1.605;0.00262
6152;PUBLIC HEALTH REPORTS;5312;1.605;0.00660
6152;PUBLIC HEALTH REPORTS;5312;1.605;0.00660
6152;STRAIN;1171;1.605;0.00154
6162;APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING;16207;1.604;0.01766
6162;GOVERNMENT AND OPPOSITION;993;1.604;0.00160
6162;INTERACTIVE LEARNING ENVIRONMENTS;837;1.604;0.00134
6162;QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL;2347;1.604;0.00392
6162;Swiss Journal of Geosciences;682;1.604;0.00089
6167;BIRTH DEFECTS RESEARCH PART A-CLINICAL AND MOLECULAR TERATOLOGY;2691;1.603;0.00491
6167;CALCOLO;453;1.603;0.00118
6167;Pacific-Basin Finance Journal;1487;1.603;0.00173
6170;AUSTRALASIAN JOURNAL OF DERMATOLOGY;1544;1.602;0.00275
6170;American Journal of Alzheimers Disease and Other Dementias;1843;1.602;0.00300
6170;BMC Oral Health;1769;1.602;0.00436
6170;JOURNAL OF HEAT TRANSFER-TRANSACTIONS  OF THE ASME;13197;1.602;0.00744
6174;Cluster Computing-The Journal of Networks Software Tools and Applications;1163;1.601;0.00246
6174;JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA;5203;1.601;0.00516
6174;JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY;11697;1.601;0.00513
6174;Journal of Interprofessional Care;2427;1.601;0.00307
6174;Journal of Interprofessional Care;2427;1.601;0.00307
6174;QUANTUM INFORMATION & COMPUTATION;1476;1.601;0.00397
6180;Advances in Theoretical and Mathematical Physics;2137;1.600;0.00254
6180;CONFLICT MANAGEMENT AND PEACE SCIENCE;871;1.600;0.00237
6180;IEEE TRANSACTIONS ON EDUCATION;1400;1.600;0.00130
6180;Journal of Biomedical Semantics;517;1.600;0.00226
6180;Journal of Maps;1004;1.600;0.00223
6180;Journal of Maps;1004;1.600;0.00223
6180;SCANDINAVIAN JOURNAL OF FOREST RESEARCH;2539;1.600;0.00239
6180;Standards in Genomic Sciences;1130;1.600;0.00319
6188;SOILS AND FOUNDATIONS;4102;1.599;0.00451
6189;JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS;982;1.598;0.00077
6189;Journal of Stroke & Cerebrovascular Diseases;4894;1.598;0.01491
6189;PSYCHOLOGY CRIME & LAW;1376;1.598;0.00213
6192;JOURNAL OF LASER APPLICATIONS;1040;1.597;0.00175
6192;Materials Express;598;1.597;0.00129
6194;Advances in Production Engineering & Management;196;1.596;0.00030
6194;CHINESE MEDICAL JOURNAL;7606;1.596;0.01170
6194;DISASTERS;1922;1.596;0.00182
6194;MIND & LANGUAGE;1406;1.596;0.00116
6194;Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy;1973;1.596;0.00258
6194;SOFTWARE QUALITY JOURNAL;508;1.596;0.00107
6200;BMC BIOCHEMISTRY;879;1.595;0.00080
6200;JOURNAL OF NONVERBAL BEHAVIOR;1495;1.595;0.00126
6200;REAL-TIME SYSTEMS;697;1.595;0.00085
6203;Gender Place and Culture;1709;1.594;0.00227
6203;Journal of Environmental Planning and Management;2185;1.594;0.00267
6203;Review of Research in Education;1233;1.594;0.00122
6203;SIAM JOURNAL ON CONTROL AND OPTIMIZATION;7464;1.594;0.01558
6207;ACADEMIC PSYCHIATRY;1391;1.593;0.00236
6207;ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES;1122;1.593;0.00180
6207;Child and Adolescent Mental Health;781;1.593;0.00125
6207;Child and Adolescent Mental Health;781;1.593;0.00125
6207;Journal of the American Academy of Audiology;2125;1.593;0.00262
6207;Journal of the Iranian Chemical Society;2197;1.593;0.00222
6207;School Mental Health;371;1.593;0.00077
6207;WOUNDS-A COMPENDIUM OF CLINICAL RESEARCH AND PRACTICE;880;1.593;0.00126
6215;ANGLE ORTHODONTIST;6168;1.592;0.00520
6215;ECOHYDROLOGY & HYDROBIOLOGY;396;1.592;0.00065
6215;PATHOBIOLOGY;966;1.592;0.00117
6218;Arthropod-Plant Interactions;847;1.591;0.00217
6218;JOURNAL OF PHYSICAL ORGANIC CHEMISTRY;2784;1.591;0.00246
6218;JOURNAL OF TEXTURE STUDIES;1732;1.591;0.00107
6218;ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL;1016;1.591;0.00053
6218;Soil Research;1005;1.591;0.00246
6223;ARCHIVES OF CLINICAL NEUROPSYCHOLOGY;4125;1.590;0.00395
6223;ARCHIVES OF CLINICAL NEUROPSYCHOLOGY;4125;1.590;0.00395
6223;Archives of Disease in Childhood-Education and Practice Edition;397;1.590;0.00120
6226;POLYMER BULLETIN;4587;1.589;0.00379
6226;Psychology Health & Medicine;1949;1.589;0.00287
6226;Psychology Health & Medicine;1949;1.589;0.00287
6229;ANDROLOGIA;2512;1.588;0.00378
6229;ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY;5474;1.588;0.00808
6229;CHEMICAL ENGINEERING & TECHNOLOGY;5644;1.588;0.00599
6229;FUTURE OF CHILDREN;1826;1.588;0.00157
6229;JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING;752;1.588;0.00072
6229;JOURNAL OF KOREAN MEDICAL SCIENCE;5327;1.588;0.00857
6229;Journal of Child and Family Studies;3596;1.588;0.00774
6229;Maritime Economics & Logistics;731;1.588;0.00079
6229;Methods in Cell Biology;3241;1.588;0.00597
6229;REVIEW OF ACCOUNTING STUDIES;1670;1.588;0.00375
6229;VIOLENCE AGAINST WOMEN;3413;1.588;0.00369
6240;CYTOGENETIC AND GENOME RESEARCH;2894;1.587;0.00297
6240;GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS;1460;1.587;0.00145
6242;ANZ JOURNAL OF SURGERY;3716;1.586;0.00516
6242;EDUCATIONAL POLICY;920;1.586;0.00144
6242;FOLIA HISTOCHEMICA ET CYTOBIOLOGICA;955;1.586;0.00092
6242;Journal of Wound Ostomy and Continence Nursing;1388;1.586;0.00133
6242;Journal of Wound Ostomy and Continence Nursing;1388;1.586;0.00133
6242;PSYCHIATRIC GENETICS;966;1.586;0.00175
6248;LEISURE SCIENCES;1812;1.585;0.00071
6248;NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES;867;1.585;0.00067
6248;SPEECH COMMUNICATION;3266;1.585;0.00304
6251;Crisis-The Journal of Crisis Intervention and Suicide Prevention;1389;1.583;0.00201
6251;JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS;2664;1.583;0.00456
6253;Romanian Reports in Physics;993;1.582;0.00232
6253;Systems Biology in Reproductive Medicine;602;1.582;0.00120
